Week,AwayTeamName,AwayTeamID,HomeTeamName,HomeTeamID,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,Conference_away,Conference_home,TeamsConcatenated
8,Ole Miss Rebels,274,Auburn Tigers,279,,,,False,SEC - West,SEC - West,Ole Miss Rebels vs Auburn Tigers
8,Minnesota Golden Gophers,104,Iowa Hawkeyes,91,,,,False,Big Ten - West,Big Ten - West,Minnesota Golden Gophers vs Iowa Hawkeyes
8,Middle Tennessee Blue Raiders,135,Liberty Flames,84,,,2023-10-17T23:00:00,False,Conference USA,Conference USA,Middle Tennessee Blue Raiders vs Liberty Flames
8,Florida International Panthers,140,Sam Houston Bearkats,295,,,2023-10-18T23:00:00,False,Conference USA,Conference USA,Florida International Panthers vs Sam Houston Bearkats
8,New Mexico State Aggies,344,UTEP Miners,139,,,2023-10-19T01:00:00,False,Conference USA,Conference USA,New Mexico State Aggies vs UTEP Miners
8,Tennessee Volunteers,277,Alabama Crimson Tide,275,-10.8,,,False,SEC - East,SEC - West,Tennessee Volunteers vs Alabama Crimson Tide
8,Wisconsin Badgers,96,Illinois Fighting Illini,102,,,,False,Big Ten - West,Big Ten - West,Wisconsin Badgers vs Illinois Fighting Illini
8,South Florida Bulls,11,UConn Huskies,3,,,2023-10-21T19:30:00,False,American Athletic,FBS Independents,South Florida Bulls vs UConn Huskies
8,Western Kentucky Hilltoppers,144,Jacksonville State Gamecocks,238,,,2023-10-17T23:30:00,False,Conference USA,Conference USA,Western Kentucky Hilltoppers vs Jacksonville State Gamecocks
8,Mississippi State Bulldogs,278,Arkansas Razorbacks,276,,,,False,SEC - West,SEC - West,Mississippi State Bulldogs vs Arkansas Razorbacks
8,Rutgers Scarlet Knights,103,Indiana Hoosiers,93,,,2023-10-21T16:00:00,False,Big Ten - East,Big Ten - East,Rutgers Scarlet Knights vs Indiana Hoosiers
8,Army Black Knights,263,LSU Tigers,269,,,,False,FBS Independents,SEC - West,Army Black Knights vs LSU Tigers
8,UCLA Bruins,253,Stanford Cardinal,254,,,,False,Pac-12,Pac-12,UCLA Bruins vs Stanford Cardinal
8,Washington State Cougars,256,Oregon Ducks,245,,,,False,Pac-12,Pac-12,Washington State Cougars vs Oregon Ducks
8,Arizona State Sun Devils,255,Washington Huskies,249,,,,False,Pac-12,Pac-12,Arizona State Sun Devils vs Washington Huskies
8,Utah Utes,248,USC Trojans,246,,,,False,Pac-12,Pac-12,Utah Utes vs USC Trojans
8,Virginia Cavaliers,22,North Carolina Tar Heels,21,,,,False,Atlantic Coast,Atlantic Coast,Virginia Cavaliers vs North Carolina Tar Heels
